date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:11	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Dec%202024%2014:22:11%20GMT	https://demo.smartaddons.com/robots.txt		(from )
21:22:13	263608/263608	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2014:22:08%20GMT	https://demo.smartaddons.com/templates/html/market/index.php	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/index.html	(from )
21:22:13	1464/1464	---M--	200	added ('OK')	image/png	etag:%225b8-53f15842da400%22	https://demo.smartaddons.com/templates/html/market/ico/favicon.png	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/ico/favicon.png	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:16	122544/122544	---M--	200	added ('OK')	text/css	etag:%221deb0-5350e107d1380%22	https://demo.smartaddons.com/templates/html/market/css/bootstrap/css/bootstrap.min.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/css/bootstrap/css/bootstrap.min.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:17	26715/26715	---M--	200	added ('OK')	text/css	etag:%22685b-5350e107d1380%22	https://demo.smartaddons.com/templates/html/market/css/font-awesome/css/font-awesome.min.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/css/font-awesome/css/font-awesome.min.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:18	5067/5067	---M--	200	added ('OK')	text/css	etag:%2213cb-56b203df2c880%22	https://demo.smartaddons.com/templates/html/market/js/owl-carousel/owl.carousel.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/js/owl-carousel/owl.carousel.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:20	7471/7471	---M--	200	added ('OK')	text/css	etag:%221d2f-53a22639bb080%22	https://demo.smartaddons.com/templates/html/market/css/themecss/lib.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/css/themecss/lib.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:20	5058/5058	---M--	200	added ('OK')	text/css	etag:%2213c2-538cc34732b00%22	https://demo.smartaddons.com/templates/html/market/js/datetimepicker/bootstrap-datetimepicker.min.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/js/datetimepicker/bootstrap-datetimepicker.min.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:22	3046/3046	---M--	200	added ('OK')	text/css	etag:%22be6-53a49b1d36c80%22	https://demo.smartaddons.com/templates/html/market/js/jquery-ui/jquery-ui.min.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/js/jquery-ui/jquery-ui.min.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
21:22:22	4978/4978	---M--	200	added ('OK')	text/css	etag:%221372-54d9de367fb00%22	https://demo.smartaddons.com/templates/html/market/js/minicolors/miniColors.css	/Users/thiemdao/Desktop/project/theme/market-html/demo.smartaddons.com/templates/html/market/js/minicolors/miniColors.css	(from https://demo.smartaddons.com/templates/html/market/index.php)
